品牌,型号,原始价格,使用年限,外观状况,功能状况,二手价格
Honor,Honor 20,2969,2,轻微划痕,部分功能故障,1200
Apple,iPhone 11 Pro,10276,5,完好,功能正常,7139
Xiaomi,Mi 11,2000,1,严重损坏,功能正常,665
Xiaomi,Redmi Note 10,2000,1,严重损坏,功能正常,646
Samsung,Galaxy Note 20,2008,1,中度磨损,功能正常,1185
Apple,iPhone 11 Pro,7556,3,轻微划痕,功能正常,3048
Honor,Honor 30,2397,2,完好,功能正常,1570
Samsung,Galaxy A52,2459,3,中度磨损,部分功能故障,998
Samsung,Galaxy A52,2749,5,中度磨损,部分功能故障,1821
Apple,iPhone 11 Pro,8993,1,严重损坏,部分功能故障,4650
Samsung,Galaxy Note 20,2550,2,严重损坏,功能正常,1454
Xiaomi,Mi 11,2000,2,中度磨损,功能正常,836
Xiaomi,Mi 10,2000,3,完好,部分功能故障,816
Honor,Honor 30,2234,3,轻微划痕,功能正常,797
Xiaomi,Redmi Note 10,2000,5,中度磨损,部分功能故障,1043
Samsung,Galaxy A52,2391,3,完好,部分功能故障,1260
Apple,iPhone XS,9493,3,完好,功能正常,4471
Samsung,Galaxy A52,2658,4,中度磨损,部分功能故障,1483
Honor,Honor View 20,2880,4,严重损坏,功能正常,1232
Xiaomi,Mi 11,2000,3,严重损坏,功能正常,660
Apple,iPhone 12 Pro,6363,4,中度磨损,部分功能故障,2219
Honor,Honor 20,2074,5,严重损坏,部分功能故障,968
Honor,Honor 20,2015,2,完好,部分功能故障,1076
Honor,Honor 20,2612,4,中度磨损,功能正常,1787
Samsung,Galaxy Note 20,2896,4,完好,功能正常,1891
Samsung,Galaxy S21,2709,4,中度磨损,功能正常,1213
Apple,iPhone 12 Pro,7888,2,严重损坏,功能正常,5413
Apple,iPhone 12 Pro,10051,5,完好,部分功能故障,5474
Apple,iPhone XS,7690,1,完好,部分功能故障,3032
Honor,Honor View 20,2278,1,中度磨损,功能正常,1027
Apple,iPhone XS,11668,3,中度磨损,部分功能故障,7609
Xiaomi,Redmi Note 10,2000,2,完好,功能正常,800
Samsung,Galaxy S21,2632,4,完好,功能正常,1110
Apple,iPhone 11 Pro,11413,4,完好,部分功能故障,4909
Apple,iPhone 12 Pro,5241,2,完好,部分功能故障,1777
Xiaomi,Mi 10,2000,5,轻微划痕,部分功能故障,1171
Honor,Honor 20,2474,4,严重损坏,部分功能故障,1126
Samsung,Galaxy S21,2698,1,轻微划痕,部分功能故障,1252
Honor,Honor 20,2902,4,轻微划痕,功能正常,1274
Honor,Honor View 20,2232,3,严重损坏,功能正常,954
Xiaomi,Redmi Note 10,2000,2,完好,部分功能故障,1268
Samsung,Galaxy A52,2472,3,完好,功能正常,1022
Apple,iPhone 12 Pro,5860,3,严重损坏,功能正常,3157
Xiaomi,Mi 10,2000,4,中度磨损,功能正常,622
Apple,iPhone XS,6484,3,中度磨损,部分功能故障,3595
Samsung,Galaxy S21,2441,4,严重损坏,部分功能故障,1412
Xiaomi,Mi 10,2000,3,完好,部分功能故障,1034
Apple,iPhone XS,8104,5,中度磨损,部分功能故障,4497
Apple,iPhone XS,6570,1,中度磨损,功能正常,4524
